ID|header|topic|description|esiaonly|oneip|active|startdate|enddate|showresult
ИД|Краткое описание|Тема|Описание|Требовать авторизацию ЕСИА|Ограничение по IP-адресу|Активный|Дата начала|Дата окончания|Отображать ссылку на результаты
12|Информационная открытость деятельности администрации города| Информационная открытость деятельности администрации города|<div class="ExternalClass9EC5D0D353AA49A0BDAAD38FAABA3651"><p>​<span style="font-size&#58;16px;">Информационная открытость деятельности администрации города​</span></p></div>|False|False|True|01.12.2018 0:00:00|31.12.2018 0:00:00|False
13|В рамках реализации федерального проекта «Формирование современной городской среды» партии «Единая Россия», по Вашему мнению, благоустройство какого городского общественного места стоит провести в первую очередь?|Выбор объекта благоустройства||False|False|False|17.01.2019 0:00:00|31.01.2019 0:00:00|False
14|Какое из наименований, на ваш взгляд, подходит для названия общественного пространства в Свердловском районе, посвященного 75-летию Великой Победы?|Голосуем за название сквера в честь 75-летия Победы!|<div class="ExternalClass0CC3EC97D3954728B275F8D8CF91E348"><p>​Доминирующим элементом новой&#160;<span style="font-size&#58;18px;">парковой зоны</span>​&#160;станет центральная площадь, на которой будет установлена скульптурная композиция, ставшая победителем открытого конкурса, проведенного Российской Академией художеств.&#160;&#160;</p><p>Итоги голосования будут подведены на встрече с военно-патриотическими организациями города 7 мая в 15.00 в <span style="font-size&#58;18px;">Дворце культуры «Свердловский»&#160;</span>.</p></div>|False|False|False|30.04.2019 0:00:00|06.05.2019 0:00:00|False
15|Уважаемые красноярцы! 18 мая завершился прием заявок на участие в конкурсе «Лучший проект комплекса крематория». Приглашаем принять участие в общественном рейтинговом голосовании по представленным проектам.|Выбор лучшего проекта комплекса крематория|<div class="ExternalClassCE4C01136BA44E1FAE656A6DA52CC5C2"><p class="ExternalClass6C034F948EB745ABB90DB1C56DADDEAA">Уважаемые красноярцы! 18 мая завершился прием заявок на участие в конкурсе «Лучший проект комплекса крематория».</p><p class="ExternalClass6C034F948EB745ABB90DB1C56DADDEAA">Приглашаем принять участие в общественном рейтинговом голосовании по представленным проектам, которое продлится до 30.05.2019 включительно.</p><p class="ExternalClass6C034F948EB745ABB90DB1C56DADDEAA">Ознакомиться с проектами можно по ссылкам&#58; </p><ul dir="ltr"><li><div class="ExternalClass6C034F948EB745ABB90DB1C56DADDEAA" style="text-align&#58;left;margin-right&#58;0px;"><a href="/press/sociology/Documents/Проект%20№1.pdf">Проект 1.</a></div></li><li><div class="ExternalClass6C034F948EB745ABB90DB1C56DADDEAA" style="text-align&#58;left;margin-right&#58;0px;"><a href="/press/sociology/Documents/Проект%20№2.pdf">Проект 2.</a></div></li><li><div class="ExternalClass6C034F948EB745ABB90DB1C56DADDEAA" style="text-align&#58;left;margin-right&#58;0px;"><a href="/press/sociology/Documents/Проект%20№%203.pdf">Проект 3.</a></div></li><li><div class="ExternalClass6C034F948EB745ABB90DB1C56DADDEAA" style="text-align&#58;left;margin-right&#58;0px;"><a href="/press/sociology/Documents/Проект%20№%204.pdf">Проект 4.</a></div></li></ul></div>|False|True|False|21.05.2019 0:00:00|30.05.2019 0:00:00|False
16|Администрация города разрабатывает концепцию дальнейшего развития городских островов, что позволит сделать их территорию более удобной для отдыха. Приглашаем вас высказать свои идеи.|Сбор предложений о путях развития городских островов|<div class="ExternalClassD948B8F9FE6A494E900344699C027A65"><p>​Уважаемые красноярцы! Крупнейшие городские острова – Татышев, Молокова и Отдыха – любимые места отдыха горожан. Сюда приходят покататься на велосипедах и роликах, поучаствовать в фестивалях и соревнованиях, просто погулять и устроить пикник. Администрация города разрабатывает концепцию дальнейшего развития городских островов, что позволит сделать их территорию более удобной для отдыха. Приглашаем вас высказать свои идеи.</p></div>|False|True|False|03.06.2019 0:00:00|03.07.2019 0:00:00|False
17|Хотели бы Вы, чтобы оплата отопления осуществлялась только в отопительный период (сентябрь-май) по показаниям общедомового прибора, то есть по фактическому потреблению?|Механизм платы за отопление|<div class="ExternalClass5E17E53CBCE94963B5D81B7F126B1F64"><p>​По окончании года производится корректировка платы, исходя из фактически потреблённого объёма тепла по показаниям общедомового прибора. Например, если отопительный сезон оказался более длинным и холодным, и тепла было предоставлено больше, чем в предыдущем году, производится доначисление платы за отопление, если отопительный сезон оказался более коротким и «тёплым», – уменьшение платы.</p><p>Хотели бы Вы, чтобы оплата отопления осуществлялась только в отопительный период (сентябрь-май) по показаниям общедомового прибора, то есть по фактическому потреблению?</p><p>При этом плата за отопление в зимние месяцы увеличится, а в летние месяцы начисляться не будет.</p></div>|False|False|False|04.07.2019 0:00:00|12.08.2019 0:00:00|False
18|Приглашаем вас принять участие в онлайн-опросе и высказать своё мнение о возможных путях развития острова Татышева|Пути развития острова Татышева|<div class="ExternalClass2D0E227933054E04B629EBE51A4EB73D"><div>​Уважаемые красноярцы! Администрация города разрабатывает концепцию развития островов Татышева, Молокова, Отдыха. Это позволит сделать их территорию более удобной для горожан. Приглашаем вас принять участие в онлайн<font face="times new roman, serif"><span style="font-size&#58;18.6667px;">-</span></font>опросе и высказать своё мнение. Это второй этап опроса. На первом этапе были собраны предложения горожан по развитию островов. На данном, втором этапе, предлагаем вам проголосовать за наиболее часто встречающиеся предложения и направления, поступившие по острову Татышеву.​​​</div></div>|False|False|False|18.07.2019 0:00:00|31.07.2019 0:00:00|False
19|Приглашаем вас принять участие в онлайн-опросе и высказать своё мнение о возможных путях развития острова Молокова|Пути развития острова Молокова|<div class="ExternalClass3C4E14F9A31E4BAFAC7CDDC1E647FCA7"><div><span style="font-size&#58;18px;">​Уважаемые красноярцы! Администрация города разрабатывает концепцию развития островов Татышева, Молокова, Отдыха. Это позволит сделать их территорию более удобной для горожан. Приглашаем вас принять участие в онлайн</span><font face="times new roman, serif"><span style="font-size&#58;18.6667px;">-</span></font><span style="font-size&#58;18px;">опросе и высказать своё мнение. Это второй этап опроса. На первом этапе были собраны предложения горожан по развитию островов. На данном, втором этапе, предлагаем вам проголосовать за наиболее часто встречающиеся предложения и направления, поступившие по острову&#160;​Молокова.</span></div></div>|False|False|False|18.07.2019 0:00:00|31.07.2019 0:00:00|False
20|Приглашаем вас принять участие в онлайн-опросе и высказать своё мнение о возможных путях развития острова Отдыха|Пути развития острова Отдыха|<div class="ExternalClassF70582D2FD3A4A37B860F2CEAD047E03"><div style="text-align&#58;justify;"></div><div style="text-align&#58;justify;"><span style="font-size&#58;18px;">​​Уважаемые красноярцы! Администрация города разрабатывает концепцию развития островов Татышева, Молокова, Отдыха. Это позволит сделать их территорию более удобной для горожан. Приглашаем вас принять участие в онлайн</span><font face="times new roman, serif"><span style="font-size&#58;18.6667px;">-</span></font><span style="font-size&#58;18px;">опросе и высказать своё мнение. Это второй этап опроса. На первом этапе были собраны предложения горожан по развитию островов. На данном, втором этапе, предлагаем вам проголосовать за наиболее часто встречающиеся предложения и направления, поступившие по острову​ Отдыха.</span></div></div>|False|False|False|18.07.2019 0:00:00|31.07.2019 0:00:00|False
